model,context,subset,emotion,precision,recall,f1,support
deepseek-r1_14b,context,full,Anger,0.16666666666666666,0.041666666666666664,0.06666666666666667,24
deepseek-r1_14b,context,full,Disgust,0.0,0.0,0.0,4
deepseek-r1_14b,context,full,Fear,0.0,0.0,0.0,3
deepseek-r1_14b,context,full,Happiness,0.10526315789473684,0.03773584905660377,0.05555555555555555,53
deepseek-r1_14b,context,full,Neutral,0.8751696065128901,0.9684684684684685,0.9194583036350678,666
deepseek-r1_14b,context,full,Sadness,0.25,0.2,0.2222222222222222,5
deepseek-r1_14b,context,full,Surprise,0.0,0.0,0.0,14
deepseek-r1_14b,context,test,Anger,0.0,0.0,0.0,4
deepseek-r1_14b,context,test,Disgust,0.0,0.0,0.0,1
deepseek-r1_14b,context,test,Fear,0.0,0.0,0.0,0
deepseek-r1_14b,context,test,Happiness,0.0,0.0,0.0,11
deepseek-r1_14b,context,test,Neutral,0.8698630136986302,0.9548872180451128,0.910394265232975,133
deepseek-r1_14b,context,test,Sadness,0.0,0.0,0.0,1
deepseek-r1_14b,context,test,Surprise,0.0,0.0,0.0,4
deepseek-r1_32b,context,full,Anger,0.25,0.08333333333333333,0.125,24
deepseek-r1_32b,context,full,Disgust,0.0,0.0,0.0,4
deepseek-r1_32b,context,full,Fear,0.0,0.0,0.0,3
deepseek-r1_32b,context,full,Happiness,0.14285714285714285,0.03773584905660377,0.05970149253731343,53
deepseek-r1_32b,context,full,Neutral,0.8789115646258503,0.96996996996997,0.9221984296930764,666
deepseek-r1_32b,context,full,Sadness,0.2,0.2,0.2,5
deepseek-r1_32b,context,full,Surprise,0.0,0.0,0.0,14
deepseek-r1_32b,context,test,Anger,0.0,0.0,0.0,4
deepseek-r1_32b,context,test,Disgust,0.0,0.0,0.0,1
deepseek-r1_32b,context,test,Fear,0.0,0.0,0.0,0
deepseek-r1_32b,context,test,Happiness,0.0,0.0,0.0,11
deepseek-r1_32b,context,test,Neutral,0.8639455782312925,0.9548872180451128,0.9071428571428571,133
deepseek-r1_32b,context,test,Sadness,0.0,0.0,0.0,1
deepseek-r1_32b,context,test,Surprise,0.0,0.0,0.0,4
deepseek-r1_8b,context,full,Anger,0.0,0.0,0.0,1
deepseek-r1_8b,context,full,Disgust,0.0,0.0,0.0,0
deepseek-r1_8b,context,full,Fear,0.0,0.0,0.0,0
deepseek-r1_8b,context,full,Happiness,0.0,0.0,0.0,3
deepseek-r1_8b,context,full,Neutral,0.0,0.0,0.0,63
deepseek-r1_8b,context,full,Sadness,0.0,0.0,0.0,0
deepseek-r1_8b,context,full,Surprise,0.125,0.5,0.2,2
deepseek-r1_8b,context,test,Anger,0.0,0.0,0.0,1
deepseek-r1_8b,context,test,Disgust,0.0,0.0,0.0,0
deepseek-r1_8b,context,test,Fear,0.0,0.0,0.0,0
deepseek-r1_8b,context,test,Happiness,0.0,0.0,0.0,0
deepseek-r1_8b,context,test,Neutral,0.0,0.0,0.0,13
deepseek-r1_8b,context,test,Sadness,0.0,0.0,0.0,0
deepseek-r1_8b,context,test,Surprise,0.0,0.0,0.0,0
gemma3_12b,context,full,Anger,0.2857142857142857,0.08695652173913043,0.13333333333333333,23
gemma3_12b,context,full,Disgust,0.08695652173913043,0.5,0.14814814814814814,4
gemma3_12b,context,full,Fear,0.06666666666666667,0.3333333333333333,0.1111111111111111,3
gemma3_12b,context,full,Happiness,0.2857142857142857,0.0392156862745098,0.06896551724137931,51
gemma3_12b,context,full,Neutral,0.8908554572271387,0.937888198757764,0.913767019667171,644
gemma3_12b,context,full,Sadness,0.0,0.0,0.0,5
gemma3_12b,context,full,Surprise,0.09090909090909091,0.07692307692307693,0.08333333333333333,13
gemma3_12b,context,test,Anger,0.0,0.0,0.0,3
gemma3_12b,context,test,Disgust,0.25,1.0,0.4,1
gemma3_12b,context,test,Fear,0.0,0.0,0.0,0
gemma3_12b,context,test,Happiness,0.0,0.0,0.0,11
gemma3_12b,context,test,Neutral,0.8705035971223022,0.9307692307692308,0.8996282527881041,130
gemma3_12b,context,test,Sadness,0.0,0.0,0.0,1
gemma3_12b,context,test,Surprise,0.0,0.0,0.0,4
gemma3_27b,context,full,Anger,0.3333333333333333,0.08333333333333333,0.13333333333333333,24
gemma3_27b,context,full,Disgust,0.0,0.0,0.0,4
gemma3_27b,context,full,Fear,0.0,0.0,0.0,3
gemma3_27b,context,full,Happiness,0.2222222222222222,0.03773584905660377,0.06451612903225806,53
gemma3_27b,context,full,Neutral,0.8708791208791209,0.9548192771084337,0.9109195402298851,664
