model,subset,emotion,precision_context,recall_context,f1_context,precision_nocontext,recall_nocontext,f1_nocontext,precision_delta,recall_delta,f1_delta,f1_pct_change,precision_pct_change,recall_pct_change
deepseek-r1_14b,full,Anger,0.16666666666666666,0.041666666666666664,0.06666666666666667,0.1,0.043478260869565216,0.06060606060606061,0.06666666666666665,-0.0018115942028985518,0.006060606060606058,9.999999999999995,66.66666666666666,-4.16666666666667
deepseek-r1_14b,full,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,full,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,full,Happiness,0.10526315789473684,0.03773584905660377,0.05555555555555555,0.3125,0.09433962264150944,0.14492753623188406,-0.20723684210526316,-0.05660377358490567,-0.08937198067632851,-61.66666666666667,-66.31578947368422,-60.00000000000001
deepseek-r1_14b,full,Neutral,0.8751696065128901,0.9684684684684685,0.9194583036350678,0.8841379310344828,0.9668174962292609,0.9236311239193083,-0.008968324521592685,0.0016509722392075155,-0.004172820284240597,-0.45178428662448894,-1.0143580777152412,0.17076358730024693
deepseek-r1_14b,full,Sadness,0.25,0.2,0.2222222222222222,0.16666666666666666,0.25,0.2,0.08333333333333334,-0.04999999999999999,0.0222222222222222,11.1111111111111,50.000000000000014,-19.999999999999996
deepseek-r1_14b,full,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,test,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,test,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,test,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,test,Happiness,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.1111111111111111,-0.14285714285714285,-0.09090909090909091,-0.1111111111111111,-100.0,-100.0,-100.0
deepseek-r1_14b,test,Neutral,0.8698630136986302,0.9548872180451128,0.910394265232975,0.8865248226950354,0.9398496240601504,0.9124087591240876,-0.016661808996405236,0.015037593984962405,-0.002014493891112634,-0.2207885304659447,-1.8794520547945108,1.6
deepseek-r1_14b,test,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_14b,test,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,full,Anger,0.25,0.08333333333333333,0.125,0.2857142857142857,0.16666666666666666,0.21052631578947367,-0.0357142857142857,-0.08333333333333333,-0.08552631578947367,-40.62499999999999,-12.499999999999995,-50.0
deepseek-r1_32b,full,Disgust,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.2,-0.14285714285714285,-0.3333333333333333,-0.2,-100.0,-100.0,-100.0
deepseek-r1_32b,full,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,full,Happiness,0.14285714285714285,0.03773584905660377,0.05970149253731343,0.5,0.1320754716981132,0.208955223880597,-0.35714285714285715,-0.09433962264150944,-0.14925373134328357,-71.42857142857143,-71.42857142857143,-71.42857142857143
deepseek-r1_32b,full,Neutral,0.8789115646258503,0.96996996996997,0.9221984296930764,0.8945908460471568,0.9684684684684685,0.9300648882480173,-0.01567928142130648,0.0015015015015015232,-0.007866458554940836,-0.8457967454033287,-1.7526762643041816,0.1550387596899247
deepseek-r1_32b,full,Sadness,0.2,0.2,0.2,0.3333333333333333,0.4,0.36363636363636365,-0.1333333333333333,-0.2,-0.16363636363636364,-45.0,-39.99999999999999,-50.0
deepseek-r1_32b,full,Surprise,0.0,0.0,0.0,1.0,0.07142857142857142,0.13333333333333333,-1.0,-0.07142857142857142,-0.13333333333333333,-100.0,-100.0,-100.0
deepseek-r1_32b,test,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,test,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,test,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,test,Happiness,0.0,0.0,0.0,0.3333333333333333,0.09090909090909091,0.14285714285714285,-0.3333333333333333,-0.09090909090909091,-0.14285714285714285,-100.0,-100.0,-100.0
deepseek-r1_32b,test,Neutral,0.8639455782312925,0.9548872180451128,0.9071428571428571,0.8775510204081632,0.9699248120300752,0.9214285714285714,-0.013605442176870763,-0.015037593984962405,-0.014285714285714235,-1.5503875968992193,-1.5503875968992265,-1.550387596899225
deepseek-r1_32b,test,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_32b,test,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,full,Surprise,0.125,0.5,0.2,0.0,0.0,0.0,0.125,0.5,0.2,,,
deepseek-r1_8b,test,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
deepseek-r1_8b,test,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_12b,full,Anger,0.2857142857142857,0.08695652173913043,0.13333333333333333,0.15384615384615385,0.08695652173913043,0.1111111111111111,0.13186813186813184,0.0,0.022222222222222227,20.000000000000004,85.7142857142857,0.0
gemma3_12b,full,Disgust,0.08695652173913043,0.5,0.14814814814814814,0.047619047619047616,0.25,0.08,0.039337474120082816,0.25,0.06814814814814814,85.18518518518518,82.6086956521739,100.0
gemma3_12b,full,Fear,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.1111111111111111,,,
gemma3_12b,full,Happiness,0.2857142857142857,0.0392156862745098,0.06896551724137931,0.5,0.1346153846153846,0.21212121212121213,-0.2142857142857143,-0.0953996983408748,-0.14315569487983282,-67.48768472906404,-42.85714285714286,-70.86834733893558
gemma3_12b,full,Neutral,0.8908554572271387,0.937888198757764,0.913767019667171,0.9015918958031838,0.9396681749622926,0.9202363367799113,-0.010736438576045115,-0.0017799762045286327,-0.006469317112740347,-0.7030060490088628,-1.1908313091568499,-0.18942603910152223
gemma3_12b,full,Sadness,0.0,0.0,0.0,0.16666666666666666,0.2,0.18181818181818182,-0.16666666666666666,-0.2,-0.18181818181818182,-100.0,-100.0,-100.0
gemma3_12b,full,Surprise,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.14285714285714285,0.07692307692307693,0.1,-0.05194805194805194,0.0,-0.016666666666666677,-16.66666666666668,-36.36363636363636,0.0
gemma3_12b,test,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_12b,test,Disgust,0.25,1.0,0.4,0.0,0.0,0.0,0.25,1.0,0.4,,,
gemma3_12b,test,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_12b,test,Happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_12b,test,Neutral,0.8705035971223022,0.9307692307692308,0.8996282527881041,0.8848920863309353,0.924812030075188,0.9044117647058824,-0.014388489208633115,0.005957200694042819,-0.00478351191777826,-0.5289086348112547,-1.6260162601626038,0.6441525953721097
gemma3_12b,test,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_12b,test,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,full,Anger,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.025641025641025605,-0.09057971014492754,-0.08888888888888888,-40.0,8.333333333333321,-52.083333333333336
gemma3_27b,full,Disgust,0.0,0.0,0.0,0.06666666666666667,0.25,0.10526315789473684,-0.06666666666666667,-0.25,-0.10526315789473684,-100.0,-100.0,-100.0
gemma3_27b,full,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,full,Happiness,0.2222222222222222,0.03773584905660377,0.06451612903225806,0.38461538461538464,0.09803921568627451,0.15625,-0.16239316239316243,-0.060303366629670736,-0.09173387096774194,-58.70967741935485,-42.22222222222223,-61.50943396226415
gemma3_27b,full,Neutral,0.8708791208791209,0.9548192771084337,0.9109195402298851,0.8992907801418439,0.9577039274924471,0.9275786393562546,-0.028411659262723044,-0.0028846503840134208,-0.016659099126369536,-1.7959770114942553,-3.1593406593406543,-0.3012048192771111
gemma3_27b,full,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,full,Surprise,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.09523809523809523,-0.14285714285714285,-0.07142857142857142,-0.09523809523809523,-100.0,-100.0,-100.0
gemma3_27b,test,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,test,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,test,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,test,Happiness,0.0,0.0,0.0,0.2,0.09090909090909091,0.125,-0.2,-0.09090909090909091,-0.125,-100.0,-100.0,-100.0
gemma3_27b,test,Neutral,0.8639455782312925,0.9548872180451128,0.9071428571428571,0.8920863309352518,0.9465648854961832,0.9185185185185185,-0.028140752703959326,0.008322332548929556,-0.011375661375661372,-1.2384792626728107,-3.1544876014922147,0.8792141644433643
gemma3_27b,test,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gemma3_27b,test,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gpt-oss_20b,full,Anger,0.1794871794871795,0.2916666666666667,0.2222222222222222,0.3333333333333333,0.07142857142857142,0.11764705882352941,-0.15384615384615383,0.22023809523809526,0.1045751633986928,88.88888888888889,-46.15384615384615,308.33333333333337
gpt-oss_20b,full,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gpt-oss_20b,full,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gpt-oss_20b,full,Happiness,0.15384615384615385,0.11320754716981132,0.13043478260869565,0.23529411764705882,0.10810810810810811,0.14814814814814814,-0.08144796380090497,0.005099439061703209,-0.01771336553945249,-11.956521739130432,-34.615384615384606,4.716981132075468
gpt-oss_20b,full,Neutral,0.9053435114503817,0.8903903903903904,0.8978046934140802,0.913961038961039,0.9607508532423208,0.9367720465890182,-0.008617527510657252,-0.07036046285193043,-0.038967353174938046,-4.159747647981842,-0.9428768999227118,-7.323486897199154
